ID,Name,Height,Image,Category,Source
169,Lionel Messi,169,https://www.celebheights.com/tr/l/lionelmessi.jpg,[Sports],[Celeb Heights]
170,Roger Federer,185,https://www.celebheights.com/tr/r/rogerfederer.jpg,[Sports],[Celeb Heights]
171,Kevin Durant,207,https://www.celebheights.com/tr/k/kevindurant.jpg,[Sports],[Celeb Heights]
172,Usain Bolt,195,https://www.celebheights.com/tr/u/usainbolt.jpg,[Sports],[Celeb Heights]
173,Michael Phelps,189,https://www.celebheights.com/tr/m/michaelphelps.jpg,[Sports],[Celeb Heights]
174,Madonna,163,https://www.celebheights.com/tr/m/madonna.jpg,[Music],[Celeb Heights]
176,Jennifer Lawrence,171,https://www.celebheights.com/tr/j/jenniferlawrence.jpg,[Acting],[Celeb Heights]
177,Margot Robbie,166,https://www.celebheights.com/tr/m/margotrobbie.jpg,[Acting],[Celeb Heights]
178,Harry Styles,178,https://www.celebheights.com/tr/h/harrystyles.jpg,[Music],[Celeb Heights]
181,Marilyn Monroe,166,https://www.celebheights.com/tr/m/marilynmonroe.jpg,[Acting],[Celeb Heights]
182,Jimi Hendrix,178,https://www.celebheights.com/tr/j/jimihendrix.jpg,[Music],[Celeb Heights]
186,Nelson Mandela,184,https://www.celebheights.com/tr/n/nelsonmandela.jpg,[Historical],[Celeb Heights]
187,Fidel Castro,185,https://www.celebheights.com/tr/f/fidelcastro.jpg,[Historical],[Celeb Heights]
190,Jenna Fischer,165,https://www.celebheights.com/tr/j/jennafischer.jpg,[Acting],[Celeb Heights]
191,Jenna Ortega,151,https://www.celebheights.com/tr/j/jennaortega.jpg,[Acting],[Celeb Heights]
192,Dua Lipa,173,https://www.celebheights.com/tr/d/dualipa.jpg,[Music],[Celeb Heights]
193,Leo Chen,182.88,https://media.licdn.com/dms/image/v2/D5603AQHjTg34JfxWMQ/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1730258488816?e=1747267200&v=beta&t=keTdanBfbY8OSxzM5neEWsI0onQ0H0ZFxa2qF58ydUM,[Other],[Us]
198,James Hoffmann,193,https://pbs.twimg.com/profile_images/1308776540285657088/9A6DgRmg_400x400.jpg,[Influencers],[Google]
199,Adam Savage,179,https://www.celebheights.com/tr/a/adamsavage.jpg,"[Influencers,Scientists,Acting]",[Celeb Heights]
