ID,Name,Height,Image,Category,Source
150,Warren Buffett,178.0,https://upload.wikimedia.org/wikipedia/commons/d/df/Warren_Buffett_in_2010_%28cropped%29.jpg?20201011135117,[Wealth],[IMDb]
151,Billie Eilish,160.0,https://www.celebheights.com/tr/b/billieeilish.jpg,[Music],[Celeb Heights]
152,Bill Nye the Science Guy,184.0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/10/Bill_Nye.jpg/330px-Bill_Nye.jpg,"[Scientists,Comedy,Influencers]",[IMDb]
153,John Cena,184.0,https://www.celebheights.com/tr/j/johncena.jpg,"[Acting,Sports]",[Celeb Heights]
154,Chris Pratt,187.0,https://www.celebheights.com/tr/c/chrispratt.jpg,[Acting],[Celeb Heights]
155,Tom Holland,169.0,https://www.celebheights.com/tr/t/tomholland.jpg,[Acting],[Celeb Heights]
156,Zendaya,174.0,https://www.celebheights.com/tr/z/zendaya.jpg,[Acting],[Celeb Heights]
157,Miley Cyrus,164.0,https://www.celebheights.com/tr/m/mileycyrus.jpg,[Music],[Celeb Heights]
158,Jackie Robinson,180.0,https://upload.wikimedia.org/wikipedia/commons/d/dc/Jackie_Robinson_1956.jpg?20181208074759,[Sports],[Google]
159,Serena Williams,175.0,https://www.celebheights.com/tr/s/serenawilliams.jpg,[Sports],[Celeb Heights]
160,Thomas Jefferson,189.0,https://upload.wikimedia.org/wikipedia/commons/thumb/0/07/Official_Presidential_portrait_of_Thomas_Jefferson_%28by_Rembrandt_Peale%2C_1800%29.jpg/250px-Official_Presidential_portrait_of_Thomas_Jefferson_%28by_Rembrandt_Peale%2C_1800%29.jpg,"[Presidents,Historical]",[Wikipedia]
162,Stephen King,191.0,https://www.celebheights.com/tr/s/stephenking.jpg,[Writers],[Celeb Heights]
163,Isaac Newton,168.0,https://upload.wikimedia.org/wikipedia/commons/8/83/Sir_Isaac_Newton_%281643-1727%29.jpg,"[Historical,Scientists]",[Google]
164,Charles Darwin,180.0,https://upload.wikimedia.org/wikipedia/commons/thumb/3/33/Charles_Darwin_by_Julia_Margaret_Cameron%2C_c._1868.jpg/250px-Charles_Darwin_by_Julia_Margaret_Cameron%2C_c._1868.jpg,"[Historical,Scientists]",[IMDb]
165,Stephen Hawking,182.0,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1d/Relative_time_%282886233692%29_%28Stephen_Hawking_cropped_2%29.jpg/259px-Relative_time_%282886233692%29_%28Stephen_Hawking_cropped_2%29.jpg,[Scientists],[IMDb]
166,Neil deGrasse Tyson,188.0,https://www.celebheights.com/tr/n/neildegrassetyson.jpg,"[Scientists,Influencers]",[Celeb Heights]
167,Leonardo da Vinci,175.0,https://upload.wikimedia.org/wikipedia/commons/thumb/2/28/Portrait_of_Leonardo_da_Vinci_by_Lattanzio_Querena.jpg/250px-Portrait_of_Leonardo_da_Vinci_by_Lattanzio_Querena.jpg,"[Scientists,Historical]",[IMDb]
168,Cristiano Ronaldo,185.0,https://www.celebheights.com/tr/c/cristianoronaldo.jpg,[Sports],[Celeb Heights]
169,Lionel Messi,169.0,https://www.celebheights.com/tr/l/lionelmessi.jpg,[Sports],[Celeb Heights]
170,Roger Federer,185.0,https://www.celebheights.com/tr/r/rogerfederer.jpg,[Sports],[Celeb Heights]
171,Kevin Durant,207.0,https://www.celebheights.com/tr/k/kevindurant.jpg,[Sports],[Celeb Heights]
172,Usain Bolt,195.0,https://www.celebheights.com/tr/u/usainbolt.jpg,[Sports],[Celeb Heights]
173,Michael Phelps,189.0,https://www.celebheights.com/tr/m/michaelphelps.jpg,[Sports],[Celeb Heights]
174,Madonna,163.0,https://www.celebheights.com/tr/m/madonna.jpg,[Music],[Celeb Heights]
176,Jennifer Lawrence,171.0,https://www.celebheights.com/tr/j/jenniferlawrence.jpg,[Acting],[Celeb Heights]
177,Margot Robbie,166.0,https://www.celebheights.com/tr/m/margotrobbie.jpg,[Acting],[Celeb Heights]
178,Harry Styles,178.0,https://www.celebheights.com/tr/h/harrystyles.jpg,[Music],[Celeb Heights]
179,Marco Polo,160.0,https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Marco_Polo_Mosaic_from_Palazzo_Tursi.jpg/250px-Marco_Polo_Mosaic_from_Palazzo_Tursi.jpg,[Historical],[Google]
181,Marilyn Monroe,166.0,https://www.celebheights.com/tr/m/marilynmonroe.jpg,[Acting],[Celeb Heights]
182,Jimi Hendrix,178.0,https://www.celebheights.com/tr/j/jimihendrix.jpg,[Music],[Celeb Heights]
183,Che Guevara,182.0,https://upload.wikimedia.org/wikipedia/commons/thumb/8/80/Che_Guevara_-_Guerrillero_Heroico_by_Alberto_Korda.jpg/207px-Che_Guevara_-_Guerrillero_Heroico_by_Alberto_Korda.jpg,[Historical],[IMDb]
184,Hayao Miyazaki,164.0,https://upload.wikimedia.org/wikipedia/commons/thumb/f/ff/HayaoMiyazakiCCJuly09.jpg/640px-HayaoMiyazakiCCJuly09.jpg,"[Writers,Filmmakers]",[IMDb]
186,Nelson Mandela,184.0,https://www.celebheights.com/tr/n/nelsonmandela.jpg,[Historical],[Celeb Heights]
187,Fidel Castro,185.0,https://www.celebheights.com/tr/f/fidelcastro.jpg,[Historical],[Celeb Heights]
188,Pablo Picasso,163.0,https://upload.wikimedia.org/wikipedia/commons/thumb/9/98/Pablo_picasso_1.jpg/205px-Pablo_picasso_1.jpg,[Historical],[Google]
190,Jenna Fischer,165.0,https://www.celebheights.com/tr/j/jennafischer.jpg,[Acting],[Celeb Heights]
191,Jenna Ortega,151.0,https://www.celebheights.com/tr/j/jennaortega.jpg,[Acting],[Celeb Heights]
192,Dua Lipa,173.0,https://www.celebheights.com/tr/d/dualipa.jpg,[Music],[Celeb Heights]
193,Leo Chen,182.88,https://media.licdn.com/dms/image/v2/D5603AQHjTg34JfxWMQ/profile-displayphoto-shrink_800_800/profile-displayphoto-shrink_800_800/0/1730258488816?e=1747267200&v=beta&t=keTdanBfbY8OSxzM5neEWsI0onQ0H0ZFxa2qF58ydUM,[Other],[Us]
197,Tom Scott,188.0,https://static.tvtropes.org/pmwiki/pub/images/tvtropestomscott.jpg,[Influencers],[Google]
198,James Hoffmann,193.0,https://pbs.twimg.com/profile_images/1308776540285657088/9A6DgRmg_400x400.jpg,[Influencers],[Google]
199,Adam Savage,179.0,https://www.celebheights.com/tr/a/adamsavage.jpg,"[Influencers,Acting]",[Celeb Heights]
200,Sylvester Stallone,175.0,https://www.celebheights.com/tr/s/sylvesterstallone.jpg,[Acting],['Celeb Heights']
201,IShowSpeed,173.0,https://www.celebheights.com/tr/i/ishowspeed.jpg,[Influencers],['Celeb Heights']
202,Hulk Hogan,197.0,https://www.celebheights.com/tr/h/hulkhogan.jpg,"[Acting,Sports]",['Celeb Heights']
203,Hugh Jackman,188.0,https://www.celebheights.com/tr/h/hughjackman.jpg,[Acting],['Celeb Heights']
